182 n/a 574
670 dec 67 1966
655 dec 68 1954
641 inc 119 1960
658 inc 120 1978
661 dec 69 1968
659 dec 70 1956
648 dec 71 1941
649 dec 72 1936
644 dec 73 1929
643 dec 74 1928
642 dec 75 1921
643 inc 121 1935
636 inc 122 1952
656 inc 123 1986
660 inc 124 2007
670 inc 125 2026
677 inc 126 2032
679 dec 76 2013
676 dec 77 1993
658 dec 78 1968
659 dec 79 1966
651 dec 80 1944
656 dec 81 1925
637 dec 82 1894
632 dec 83 1881
625 dec 84 1834
624 dec 85 1799
585 dec 86 1766
590 inc 127 1775
591 inc 128 1780
594 inc 129 1785
595 inc 130 1798
596 dec 87 1787
607 dec 88 1777
584 dec 89 1757
586 inc 131 1770
587 inc 132 1773
597 inc 133 1774
589 dec 90 1766
588 inc 134 1776
589 inc 135 1785
599 inc 136 1802
597 dec 91 1795
606 inc 137 1810
592 inc 138 1818
612 inc 139 1834
614 dec 92 1824
608 dec 93 1811
602 dec 94 1777
601 dec 95 1742
574 dec 96 1698
567 dec 97 1659
557 dec 98 1625
535 dec 99 1602
533 eq 3 1602
534 dec 100 1578
535 dec 101 1564
509 dec 102 1554
520 inc 140 1584
525 inc 141 1599
539 inc 142 1620
535 inc 143 1632
546 inc 144 1663
551 inc 145 1688
566 inc 146 1701
571 inc 147 1702
564 dec 103 1687
567 inc 148 1689
556 eq 4 1689
566 inc 149 1699
567 inc 150 1712
566 inc 151 1755
579 inc 152 1802
610 inc 153 1843
613 inc 154 1854
620 dec 104 1839
621 dec 105 1818
598 inc 155 1823
599 inc 156 1858
626 inc 157 1918
633 inc 158 1933
659 inc 159 1942
641 dec 106 1926
642 eq 5 1926
643 eq 6 1926
641 inc 160 1929
642 inc 161 1949
646 inc 162 1969
661 inc 163 1991
662 inc 164 2004
668 inc 165 2018
674 inc 166 2031
676 inc 167 2046
681 inc 168 2060
689 inc 169 2068
690 dec 107 2056
689 inc 170 2063
677 inc 171 2074
697 inc 172 2109
700 inc 173 2114
712 inc 174 2118
702 dec 108 2113
704 inc 175 2119
707 inc 176 2120
708 dec 109 2119
705 inc 177 2120
706 dec 110 2119
709 dec 111 2118
704 dec 112 2115
705 inc 178 2116
706 dec 113 2109
705 dec 114 2097
698 dec 115 2085
694 dec 116 2081
693 dec 117 2079
694 dec 118 2075
692 dec 119 2067
689 dec 120 2063
686 inc 179 2068
688 inc 180 2102
694 inc 181 2135
720 inc 182 2174
721 inc 183 2186
733 dec 121 2181
732 dec 122 2150
716 dec 123 2122
702 dec 124 2116
704 dec 125 2115
710 dec 126 2109
701 dec 127 2102
698 inc 184 2105
703 inc 185 2109
704 eq 7 2109
702 inc 186 2128
703 inc 187 2139
723 inc 188 2158
713 inc 189 2159
722 inc 190 2185
724 inc 191 2203
739 inc 192 2220
740 inc 193 2224
741 inc 194 2225
743 dec 128 2211
741 dec 129 2192
727 dec 130 2155
724 dec 131 2127
704 dec 132 2118
699 inc 195 2124
715 eq 8 2124
710 dec 133 2107
699 dec 134 2088
698 dec 135 2083
691 dec 136 2067
694 dec 137 2059
682 dec 138 2049
683 eq 9 2049
684 dec 139 2022
682 dec 140 1995
656 dec 141 1975
657 inc 196 1983
662 inc 197 1994
664 eq 10 1994
668 inc 198 1995
662 dec 142 1976
665 inc 199 1981
649 inc 200 1982
667 inc 201 2000
666 dec 143 1972
667 dec 144 1943
639 dec 145 1915
637 dec 146 1896
639 dec 147 1877
620 dec 148 1859
618 dec 149 1856
621 dec 150 1842
617 dec 151 1826
604 dec 152 1815
605 dec 153 1812
606 dec 154 1810
601 eq 11 1810
603 inc 202 1818
606 inc 203 1825
609 inc 204 1830
610 inc 205 1836
611 inc 206 1843
615 inc 207 1847
617 inc 208 1853
615 inc 209 1855
621 inc 210 1861
619 dec 155 1852
621 dec 156 1835
612 dec 157 1815
602 inc 211 1820
601 inc 212 1836
617 inc 213 1866
618 inc 214 1875
631 inc 215 1890
626 dec 158 1868
633 dec 159 1849
609 dec 160 1826
607 inc 216 1828
610 inc 217 1831
611 inc 218 1836
610 inc 219 1844
615 inc 220 1856
619 inc 221 1862
622 inc 222 1865
621 inc 223 1869
622 inc 224 1885
626 dec 161 1876
637 dec 162 1853
613 dec 163 1828
603 inc 225 1829
612 inc 226 1837
614 dec 164 1832
611 inc 227 1846
607 inc 228 1874
628 inc 229 1910
639 inc 230 1926
643 inc 231 1930
644 dec 165 1929
643 dec 166 1926
642 dec 167 1925
641 dec 168 1924
642 inc 232 1925
641 inc 233 1931
642 inc 234 1939
648 inc 235 1949
649 inc 236 1955
652 inc 237 1963
654 inc 238 1970
657 inc 239 1998
659 inc 240 2028
682 inc 241 2057
687 inc 242 2064
688 dec 169 2055
689 inc 243 2064
678 inc 244 2074
697 inc 245 2099
699 inc 246 2122
703 inc 247 2134
720 inc 248 2143
711 dec 170 2137
712 inc 249 2139
714 dec 171 2126
713 dec 172 2110
699 dec 173 2104
698 inc 250 2115
707 inc 251 2119
710 dec 174 2106
702 dec 175 2080
694 dec 176 2060
684 dec 177 2042
682 dec 178 2038
676 dec 179 2035
680 dec 180 2021
679 dec 181 2007
662 dec 182 1996
666 inc 252 2015
668 inc 253 2020
681 dec 183 2017
671 dec 184 2002
665 dec 185 1993
666 dec 186 1957
662 dec 187 1932
629 dec 188 1902
641 inc 254 1906
632 dec 189 1897
633 inc 255 1906
632 inc 256 1917
641 inc 257 1926
644 inc 258 1932
641 dec 190 1931
647 eq 12 1931
643 dec 191 1926
641 eq 13 1926
642 inc 259 1930
643 inc 260 1935
645 inc 261 1938
647 eq 14 1938
646 inc 262 1939
645 inc 263 1942
648 inc 264 1945
649 dec 192 1934
648 dec 193 1889
637 dec 194 1846
604 dec 195 1809
605 dec 196 1806
600 dec 197 1800
601 dec 198 1798
599 dec 199 1794
598 dec 200 1786
597 dec 201 1780
591 dec 202 1773
592 eq 15 1773
590 dec 203 1746
591 dec 204 1732
565 dec 205 1718
576 inc 265 1731
577 inc 266 1736
578 inc 267 1742
581 inc 268 1750
583 inc 269 1756
586 inc 270 1771
587 inc 271 1789
598 inc 272 1809
604 inc 273 1815
607 dec 206 1813
604 inc 274 1815
602 inc 275 1817
609 inc 276 1824
606 inc 277 1835
609 inc 278 1850
620 inc 279 1870
621 inc 280 1872
629 dec 207 1871
622 dec 208 1860
620 dec 209 1858
618 inc 281 1870
620 inc 282 1906
632 inc 283 1946
654 inc 284 1975
660 inc 285 1979
661 dec 210 1976
658 dec 211 1971
657 inc 286 1993
656 inc 287 2018
680 inc 288 2050
682 eq 16 2050
688 dec 212 2041
680 dec 213 2016
673 dec 214 2001
663 dec 215 1996
665 eq 17 1996
668 inc 289 2000
663 inc 290 2002
669 dec 216 2001
670 dec 217 2000
662 dec 218 1995
668 inc 291 2005
665 inc 292 2015
672 inc 293 2026
678 inc 294 2033
676 inc 295 2035
679 dec 219 2032
680 dec 220 2027
673 dec 221 2024
674 inc 296 2029
677 inc 297 2034
678 inc 298 2037
679 inc 299 2040
680 dec 222 2020
681 dec 223 2004
659 dec 224 1985
664 dec 225 1983
662 eq 18 1983
657 inc 300 1984
664 inc 301 1993
663 inc 302 2025
666 inc 303 2074
696 inc 304 2116
712 inc 305 2129
708 dec 226 2127
709 inc 306 2144
710 inc 307 2164
725 inc 308 2189
729 inc 309 2195
735 inc 310 2198
731 inc 311 2212
732 inc 312 2227
749 dec 227 2221
746 dec 228 2199
726 dec 229 2185
727 inc 313 2200
732 inc 314 2207
741 inc 315 2208
734 dec 230 2190
733 dec 231 2178
723 dec 232 2165
722 dec 233 2164
720 dec 234 2161
722 dec 235 2152
719 dec 236 2125
711 dec 237 2102
695 dec 238 2090
696 inc 316 2095
699 inc 317 2100
700 inc 318 2125
701 inc 319 2150
724 inc 320 2171
725 dec 239 2170
722 dec 240 2160
723 dec 241 2154
715 dec 242 2148
716 dec 243 2147
717 dec 244 2146
714 eq 19 2146
715 inc 321 2148
717 eq 20 2148
716 inc 322 2154
715 inc 323 2166
723 inc 324 2180
728 inc 325 2190
729 inc 326 2196
733 inc 327 2202
734 inc 328 2205
735 inc 329 2219
736 inc 330 2272
748 inc 331 2330
788 inc 332 2377
794 inc 333 2382
795 dec 245 2380
793 inc 334 2388
792 inc 335 2400
803 inc 336 2412
805 inc 337 2414
804 dec 246 2413
805 inc 338 2415
804 eq 21 2415
806 dec 247 2395
805 dec 248 2381
784 dec 249 2354
792 dec 250 2347
778 dec 251 2342
777 inc 339 2363
787 inc 340 2380
799 inc 341 2401
794 inc 342 2413
808 inc 343 2432
811 inc 344 2439
813 inc 345 2440
815 dec 252 2436
812 inc 346 2454
809 inc 347 2501
833 inc 348 2555
859 inc 349 2586
863 inc 350 2593
864 inc 351 2595
866 dec 253 2594
865 dec 254 2578
863 dec 255 2558
850 dec 256 2539
845 inc 352 2543
844 inc 353 2558
854 inc 354 2575
860 inc 355 2586
861 inc 356 2595
865 dec 257 2585
869 dec 258 2570
851 dec 259 2554
850 inc 357 2577
853 inc 358 2602
874 inc 359 2625
875 inc 360 2626
876 inc 361 2627
875 dec 260 2626
876 inc 362 2630
875 inc 363 2634
879 inc 364 2647
880 inc 365 2659
888 inc 366 2669
891 inc 367 2683
890 inc 368 2696
902 inc 369 2698
904 dec 261 2689
892 dec 262 2677
893 inc 370 2685
892 inc 371 2697
900 inc 372 2723
905 inc 373 2748
918 inc 374 2767
925 inc 375 2772
924 dec 263 2761
923 eq 22 2761
914 inc 376 2763
924 inc 377 2775
925 inc 378 2803
926 inc 379 2831
952 inc 380 2856
953 dec 264 2851
951 inc 381 2855
947 inc 382 2875
957 inc 383 2896
971 inc 384 2921
968 eq 23 2921
982 inc 385 2927
971 dec 265 2920
974 dec 266 2907
975 dec 267 2876
958 dec 268 2851
943 dec 269 2827
950 dec 270 2824
934 dec 271 2823
940 inc 386 2836
949 inc 387 2837
947 inc 388 2860
941 inc 389 2884
972 inc 390 2910
971 dec 272 2907
967 dec 273 2904
969 dec 274 2901
968 inc 391 2904
964 dec 275 2902
972 inc 392 2914
966 inc 393 2917
976 dec 276 2913
975 dec 277 2896
962 dec 278 2883
959 inc 394 2888
962 inc 395 2894
967 inc 396 2898
965 dec 279 2894
966 dec 280 2888
963 dec 281 2882
959 dec 282 2878
960 inc 397 2880
959 inc 398 2882
961 dec 283 2872
962 dec 284 2861
949 dec 285 2855
950 inc 399 2863
956 inc 400 2874
957 dec 286 2871
961 dec 287 2863
953 dec 288 2858
949 inc 401 2859
956 inc 402 2865
954 dec 289 2828
955 dec 290 2795
919 dec 291 2753
921 inc 403 2759
913 eq 24 2759
925 inc 404 2791
921 inc 405 2813
945 inc 406 2840
947 inc 407 2858
948 inc 408 2887
963 inc 409 2913
976 inc 410 2930
974 inc 411 2935
980 inc 412 2943
981 dec 292 2941
982 inc 413 2942
978 inc 414 2948
982 inc 415 2955
988 inc 416 2968
985 inc 417 2974
995 dec 293 2970
994 dec 294 2960
981 dec 295 2946
985 inc 418 2949
980 inc 419 2963
984 inc 420 2984
999 inc 421 3002
1001 inc 422 3023
1002 inc 423 3043
1020 inc 424 3076
1021 inc 425 3100
1035 inc 426 3119
1044 inc 427 3144
1040 inc 428 3174
1060 inc 429 3209
1074 inc 430 3227
1075 dec 296 3209
1078 dec 297 3196
1056 dec 298 3177
1062 inc 431 3181
1059 dec 299 3177
1060 inc 432 3181
1058 inc 433 3187
1063 inc 434 3197
1066 inc 435 3203
1068 inc 436 3205
1069 inc 437 3219
1068 inc 438 3231
1082 inc 439 3245
1081 inc 440 3249
1082 dec 300 3243
1086 inc 441 3248
1075 dec 301 3247
1087 inc 442 3259
1085 inc 443 3269
1087 inc 444 3280
1097 inc 445 3291
1096 dec 302 3287
1098 inc 446 3293
1093 inc 447 3309
1102 inc 448 3335
1114 inc 449 3361
1119 inc 450 3374
1128 dec 303 3367
1127 dec 304 3352
1112 dec 305 3337
1113 inc 451 3339
1112 inc 452 3359
1114 inc 453 3385
1133 inc 454 3408
1138 inc 455 3419
1137 inc 456 3427
1144 inc 457 3434
1146 inc 458 3435
1144 inc 459 3437
1145 dec 306 3436
1148 inc 460 3441
1143 inc 461 3444
1150 inc 462 3454
1151 inc 463 3456
1153 inc 464 3458
1152 dec 307 3439
1153 dec 308 3411
1134 dec 309 3404
1124 inc 465 3415
1146 inc 466 3431
1145 dec 310 3428
1140 dec 311 3427
1143 inc 467 3430
1144 inc 468 3431
1143 inc 469 3435
1144 inc 470 3441
1148 inc 471 3448
1149 inc 472 3453
1151 inc 473 3456
1153 eq 25 3456
1152 inc 474 3458
1151 inc 475 3462
1155 inc 476 3466
1156 dec 312 3463
1155 inc 477 3494
1152 inc 478 3521
1187 inc 479 3570
1182 inc 480 3589
1201 inc 481 3618
1206 inc 482 3621
1211 dec 313 3620
1204 dec 314 3613
1205 dec 315 3612
1204 eq 26 3612
1203 inc 483 3614
1205 dec 316 3598
1206 dec 317 3581
1187 dec 318 3571
1188 inc 484 3590
1196 inc 485 3607
1206 inc 486 3619
1205 dec 319 3614
1208 inc 487 3627
1201 inc 488 3631
1218 inc 489 3650
1212 dec 320 3633
1220 dec 321 3625
1201 dec 322 3615
1204 inc 490 3642
1210 inc 491 3672
1228 inc 492 3699
1234 dec 323 3696
1237 dec 324 3686
1225 dec 325 3672
1224 dec 326 3654
1223 dec 327 3638
1207 dec 328 3622
1208 inc 493 3628
1207 dec 329 3612
1213 dec 330 3605
1192 dec 331 3590
1200 inc 494 3607
1198 dec 332 3604
1209 inc 495 3615
1197 inc 496 3621
1209 dec 333 3617
1215 inc 497 3642
1193 inc 498 3660
1234 inc 499 3683
1233 dec 334 3662
1216 inc 500 3664
1213 inc 501 3687
1235 inc 502 3711
1239 dec 335 3707
1237 dec 336 3703
1231 inc 503 3706
1235 inc 504 3728
1240 inc 505 3761
1253 inc 506 3791
1268 inc 507 3817
1270 inc 508 3827
1279 inc 509 3837
1278 inc 510 3843
1280 inc 511 3884
1285 inc 512 3927
1319 inc 513 3966
1323 inc 514 3976
1324 inc 515 3977
1329 inc 516 3983
1324 inc 517 3988
1330 dec 337 3972
1334 dec 338 3954
1308 dec 339 3928
1312 dec 340 3927
1308 dec 341 3901
1307 dec 342 3881
1286 dec 343 3868
1288 inc 518 3904
1294 inc 519 3941
1322 inc 520 3983
1325 inc 521 3985
1336 inc 522 3990
1324 dec 344 3985
1330 inc 523 3989
1331 inc 524 4001
1328 inc 525 4011
1342 inc 526 4026
1341 inc 527 4029
1343 inc 528 4039
1345 inc 529 4048
1351 inc 530 4061
1352 inc 531 4067
1358 inc 532 4078
1357 inc 533 4082
1363 inc 534 4083
1362 inc 535 4105
1358 inc 536 4127
1385 inc 537 4164
1384 inc 538 4173
1395 inc 539 4184
1394 inc 540 4191
1395 inc 541 4206
1402 dec 345 4188
1409 dec 346 4164
1377 dec 347 4095
1378 dec 348 4059
1340 dec 349 4020
1341 dec 350 4018
1339 dec 351 4012
1338 inc 542 4021
1335 inc 543 4034
1348 inc 544 4062
1351 inc 545 4072
1363 inc 546 4080
1358 dec 352 4052
1359 dec 353 4041
1335 dec 354 4019
1347 inc 547 4024
1337 dec 355 4016
1340 dec 356 4008
1339 eq 27 4008
1329 dec 357 4003
1340 inc 548 4011
1334 dec 358 4010
1337 inc 549 4016
1339 inc 550 4020
1340 inc 551 4026
1341 inc 552 4032
1345 inc 553 4040
1346 dec 359 4039
1349 dec 360 4038
1344 dec 361 4035
1345 inc 554 4045
1346 dec 362 4040
1354 dec 363 4009
1340 dec 364 3974
1315 dec 365 3955
1319 inc 555 3960
1321 inc 556 3974
1320 inc 557 3987
1333 inc 558 3995
1334 dec 366 3980
1328 dec 367 3955
1318 dec 368 3931
1309 inc 559 3937
1304 inc 560 3967
1324 inc 561 3977
1339 dec 369 3966
1314 dec 370 3937
1313 dec 371 3934
1310 inc 562 3935
1311 inc 563 3941
1314 inc 564 3947
1316 inc 565 3951
1317 inc 566 3954
1318 inc 567 3957
1319 inc 568 3967
1320 inc 569 3985
1328 inc 570 4015
1337 inc 571 4040
1350 inc 572 4050
1353 dec 372 4049
1347 dec 373 4034
1349 dec 374 4026
1338 dec 375 4013
1339 inc 573 4019
1336 dec 376 4009
1344 dec 377 3993
1329 dec 378 3971
1320 inc 574 3985
1322 inc 575 4011
1343 inc 576 4039
1346 dec 379 4002
1350 dec 380 3964
1306 dec 381 3920
1308 dec 382 3917
1306 inc 577 3929
1303 inc 578 3944
1320 inc 579 3961
1321 inc 580 3962
1320 dec 383 3961
1321 inc 581 3971
1320 inc 582 3978
1330 inc 583 3992
1328 inc 584 4012
1334 inc 585 4033
1350 inc 586 4047
1349 eq 28 4047
1348 dec 384 4045
1350 inc 587 4047
1347 inc 588 4048
1350 inc 589 4059
1351 inc 590 4065
1358 inc 591 4078
1356 inc 592 4094
1364 inc 593 4113
1374 dec 385 4103
1375 dec 386 4080
1354 dec 387 4065
1351 inc 594 4075
1360 dec 388 4072
1364 inc 595 4073
1348 dec 389 4065
1361 inc 596 4074
1356 dec 390 4067
1357 inc 597 4068
1354 dec 391 4063
1357 dec 392 4043
1352 dec 393 4021
1334 dec 394 3999
1335 inc 598 4020
1330 inc 599 4039
1355 inc 600 4062
1354 dec 395 4061
1353 inc 601 4062
1354 inc 602 4070
1355 inc 603 4076
1361 inc 604 4079
1360 dec 396 4074
1358 dec 397 4073
1356 inc 605 4086
1359 inc 606 4102
1371 inc 607 4121
1372 inc 608 4127
1378 inc 609 4131
1377 dec 398 4108
1376 dec 399 4088
1355 dec 400 4067
1357 inc 610 4068
1355 eq 29 4068
1356 inc 611 4077
1357 inc 612 4099
1364 inc 613 4121
1378 inc 614 4137
1379 dec 401 4133
1380 inc 615 4135
1374 inc 616 4144
1381 inc 617 4166
1389 inc 618 4187
1396 inc 619 4201
1402 dec 402 4189
1403 dec 403 4173
1384 dec 404 4157
1386 inc 620 4182
1387 inc 621 4209
1409 inc 622 4241
1413 inc 623 4252
1419 inc 624 4260
1420 inc 625 4268
1421 inc 626 4301
1427 inc 627 4336
1453 inc 628 4362
1456 dec 405 4334
1453 dec 406 4305
1425 dec 407 4280
1427 dec 408 4279
1428 dec 409 4272
1424 dec 410 4261
1420 dec 411 4258
1417 dec 412 4250
1421 dec 413 4246
1412 dec 414 4240
1413 inc 629 4242
1415 dec 415 4240
1414 dec 416 4237
1411 dec 417 4236
1412 inc 630 4250
1413 inc 631 4264
1425 inc 632 4291
1426 inc 633 4336
1440 inc 634 4371
1470 inc 635 4397
1461 dec 418 4384
1466 dec 419 4383
1457 inc 636 4411
1460 inc 637 4435
1494 inc 638 4458
1481 dec 420 4446
1483 eq 30 4446
1482 dec 421 4445
1481 dec 422 4444
1482 inc 639 4446
1481 inc 640 4463
1483 inc 641 4467
1499 inc 642 4470
1485 dec 423 4458
1486 inc 643 4461
1487 inc 644 4464
1488 dec 424 4445
1489 dec 425 4429
1468 dec 426 4409
1472 inc 645 4411
1469 inc 646 4418
1470 inc 647 4427
1479 inc 648 4436
1478 inc 649 4442
1479 dec 427 4425
1485 dec 428 4406
1461 dec 429 4377
1460 dec 430 4371
1456 dec 431 4367
1455 dec 432 4366
1456 dec 433 4360
1455 dec 434 4350
1449 dec 435 4343
1446 inc 650 4345
1448 inc 651 4351
1451 dec 436 4342
1452 dec 437 4331
1439 dec 438 4321
1440 inc 652 4330
1442 inc 653 4335
1448 dec 439 4325
1445 dec 440 4310
1432 dec 441 4299
1433 dec 442 4282
1434 dec 443 4269
1415 dec 444 4247
1420 dec 445 4245
1412 dec 446 4244
1413 inc 654 4252
1419 dec 447 4244
1420 dec 448 4226
1405 dec 449 4209
1401 dec 450 4181
1403 dec 451 4160
1377 dec 452 4139
1380 inc 655 4145
1382 dec 453 4144
1383 dec 454 4143
1379 inc 656 4163
1381 inc 657 4189
1403 inc 658 4236
1405 inc 659 4262
1428 inc 660 4288
1429 dec 455 4284
1431 dec 456 4270
1424 dec 457 4259
1415 eq 31 4259
1420 inc 661 4273
1424 inc 662 4292
1429 inc 663 4308
1439 inc 664 4317
1440 inc 665 4318
1438 inc 666 4326
1440 inc 667 4330
1448 inc 668 4331
1442 dec 458 4322
1441 dec 459 4321
1439 inc 669 4322
1441 inc 670 4327
1442 inc 671 4335
1444 inc 672 4343
1449 inc 673 4348
1450 dec 460 4345
1449 inc 674 4372
1446 inc 675 4389
1477 inc 676 4410
1466 inc 677 4429
1467 inc 678 4466
1496 inc 679 4528
1503 inc 680 4570
1529 inc 681 4606
1538 dec 461 4605
1539 inc 682 4625
1528 inc 683 4646
1558 inc 684 4679
1560 inc 685 4694
1561 inc 686 4721
1573 inc 687 4729
1587 dec 462 4722
1569 dec 463 4707
1566 inc 688 4715
1572 inc 689 4734
1577 inc 690 4764
1585 inc 691 4790
1602 inc 692 4811
1603 dec 464 4790
1606 dec 465 4785
1581 dec 466 4778
1598 inc 693 4790
1599 eq 32 4790
1593 dec 467 4786
1598 inc 694 4797
1595 inc 695 4806
1604 inc 696 4817
1607 inc 697 4820
1606 dec 468 4818
1607 inc 698 4826
1605 inc 699 4848
1614 inc 700 4879
1629 inc 701 4903
1636 inc 702 4930
1638 inc 703 4958
1656 inc 704 4988
1664 inc 705 5003
1668 inc 706 5026
1671 inc 707 5041
1687 inc 708 5070
1683 inc 709 5086
1700 inc 710 5109
1703 inc 711 5129
1706 inc 712 5145
1720 inc 713 5157
1719 eq 33 5157
1718 dec 469 5139
1720 dec 470 5121
1701 dec 471 5102
1700 inc 714 5103
1701 inc 715 5107
1702 inc 716 5113
1704 dec 472 5111
1707 inc 717 5119
1700 inc 718 5120
1712 inc 719 5132
1708 inc 720 5149
1712 inc 721 5169
1729 inc 722 5186
1728 inc 723 5187
1729 inc 724 5197
1730 inc 725 5209
1738 eq 34 5209
1741 dec 473 5204
1730 dec 474 5193
1733 dec 475 5192
1730 dec 476 5185
1729 dec 477 5183
1726 inc 726 5199
1728 inc 727 5228
1745 inc 728 5254
1755 inc 729 5264
1754 inc 730 5269
1755 dec 478 5268
1760 dec 479 5260
1753 dec 480 5246
1747 dec 481 5240
1746 inc 731 5242
1747 inc 732 5246
1749 inc 733 5247
1750 eq 35 5247
1748 dec 482 5240
1749 dec 483 5237
1743 inc 734 5242
1745 inc 735 5256
1754 inc 736 5274
1757 inc 737 5286
1763 inc 738 5304
1766 inc 739 5314
1775 inc 740 5322
1773 dec 484 5320
1774 dec 485 5293
1773 dec 486 5266
1746 dec 487 5225
1747 dec 488 5209
1732 dec 489 5171
1730 dec 490 5160
1709 dec 491 5157
1721 inc 741 5166
1727 dec 492 5162
1718 dec 493 5136
1717 dec 494 5118
1701 dec 495 5102
1700 inc 742 5106
1701 inc 743 5118
1705 inc 744 5140
1712 inc 745 5159
1723 inc 746 5172
1724 dec 496 5169
1725 inc 747 5172
1720 inc 748 5175
1727 inc 749 5201
1728 inc 750 5218
1746 inc 751 5250
1744 inc 752 5252
1760 inc 753 5255
1748 dec 497 5241
1747 inc 754 5264
1746 inc 755 5303
1771 inc 756 5341
1786 inc 757 5356
1784 dec 498 5353
1786 inc 758 5364
1783 inc 759 5371
1795 inc 760 5382
1793 inc 761 5395
1794 eq 36 5395
1808 inc 762 5409
1793 inc 763 5412
1808 inc 764 5426
1811 eq 37 5426
1807 dec 499 5421
1808 inc 765 5455
1806 inc 766 5507
1841 inc 767 5562
1860 dec 500 5561
1861 dec 501 5540
1840 dec 502 5510
1839 dec 503 5506
1831 dec 504 5496
1836 dec 505 5483
1829 dec 506 5463
1818 dec 507 5451
1816 inc 768 5479
1817 inc 769 5498
1846 inc 770 5508
1835 dec 508 5477
1827 dec 509 5458
1815 inc 771 5463
1816 inc 772 5479
1832 inc 773 5493
1831 dec 510 5492
1830 dec 511 5490
1831 dec 512 5488
1829 dec 513 5486
1828 inc 774 5488
1829 inc 775 5490
1831 inc 776 5499
1830 inc 777 5520
1838 inc 778 5543
1852 inc 779 5556
1853 inc 780 5569
1851 inc 781 5582
1865 inc 782 5620
1866 inc 783 5645
1889 inc 784 5667
1890 dec 514 5665
1888 dec 515 5654
1887 dec 516 5625
1879 dec 517 5598
1859 dec 518 5582
1860 inc 785 5590
1863 inc 786 5598
