182 n/a
642 inc 170
646 inc 171
661 inc 172
662 inc 173
668 inc 174
674 inc 175
676 inc 176
681 inc 177
689 inc 178
690 inc 179
689 dec 105
677 dec 106
697 inc 180
700 inc 181
712 inc 182
702 dec 107
704 inc 183
707 inc 184
708 inc 185
705 dec 108
706 inc 186
709 inc 187
704 dec 109
705 inc 188
706 inc 189
705 dec 110
698 dec 111
694 dec 112
693 dec 113
694 inc 190
692 dec 114
689 dec 115
686 dec 116
688 inc 191
694 inc 192
720 inc 193
721 inc 194
733 inc 195
732 dec 117
716 dec 118
702 dec 119
704 inc 196
710 inc 197
701 dec 120
698 dec 121
703 inc 198
704 inc 199
702 dec 122
703 inc 200
723 inc 201
713 dec 123
722 inc 202
724 inc 203
739 inc 204
740 inc 205
741 inc 206
743 inc 207
741 dec 124
727 dec 125
724 dec 126
704 dec 127
699 dec 128
715 inc 208
710 dec 129
699 dec 130
698 dec 131
691 dec 132
694 inc 209
682 dec 133
683 inc 210
684 inc 211
682 dec 134
656 dec 135
657 inc 212
662 inc 213
664 inc 214
668 inc 215
662 dec 136
665 inc 216
649 dec 137
667 inc 217
666 dec 138
667 inc 218
639 dec 139
637 dec 140
639 inc 219
620 dec 141
618 dec 142
621 inc 220
617 dec 143
604 dec 144
605 inc 221
606 inc 222
601 dec 145
603 inc 223
606 inc 224
609 inc 225
610 inc 226
611 inc 227
615 inc 228
617 inc 229
615 dec 146
621 inc 230
619 dec 147
621 inc 231
612 dec 148
602 dec 149
601 dec 150
617 inc 232
618 inc 233
631 inc 234
626 dec 151
633 inc 235
609 dec 152
607 dec 153
610 inc 236
611 inc 237
610 dec 154
615 inc 238
619 inc 239
622 inc 240
621 dec 155
622 inc 241
626 inc 242
637 inc 243
613 dec 156
603 dec 157
612 inc 244
614 inc 245
611 dec 158
607 dec 159
628 inc 246
639 inc 247
643 inc 248
644 inc 249
643 dec 160
642 dec 161
641 dec 162
642 inc 250
641 dec 163
642 inc 251
648 inc 252
649 inc 253
652 inc 254
654 inc 255
657 inc 256
659 inc 257
682 inc 258
687 inc 259
688 inc 260
689 inc 261
678 dec 164
697 inc 262
699 inc 263
703 inc 264
720 inc 265
711 dec 165
712 inc 266
714 inc 267
713 dec 166
699 dec 167
698 dec 168
707 inc 268
710 inc 269
702 dec 169
694 dec 170
684 dec 171
682 dec 172
676 dec 173
680 inc 270
679 dec 174
662 dec 175
666 inc 271
668 inc 272
681 inc 273
671 dec 176
665 dec 177
666 inc 274
662 dec 178
629 dec 179
641 inc 275
632 dec 180
633 inc 276
632 dec 181
641 inc 277
644 inc 278
641 dec 182
647 inc 279
643 dec 183
641 dec 184
642 inc 280
643 inc 281
645 inc 282
647 inc 283
646 dec 185
645 dec 186
648 inc 284
649 inc 285
648 dec 187
637 dec 188
604 dec 189
605 inc 286
600 dec 190
601 inc 287
599 dec 191
598 dec 192
597 dec 193
591 dec 194
592 inc 288
590 dec 195
591 inc 289
565 dec 196
576 inc 290
577 inc 291
578 inc 292
581 inc 293
583 inc 294
586 inc 295
587 inc 296
598 inc 297
604 inc 298
607 inc 299
604 dec 197
602 dec 198
609 inc 300
606 dec 199
609 inc 301
620 inc 302
621 inc 303
629 inc 304
622 dec 200
620 dec 201
618 dec 202
620 inc 305
632 inc 306
654 inc 307
660 inc 308
661 inc 309
658 dec 203
657 dec 204
656 dec 205
680 inc 310
682 inc 311
688 inc 312
680 dec 206
673 dec 207
663 dec 208
665 inc 313
668 inc 314
663 dec 209
669 inc 315
670 inc 316
662 dec 210
668 inc 317
665 dec 211
672 inc 318
678 inc 319
676 dec 212
679 inc 320
680 inc 321
673 dec 213
674 inc 322
677 inc 323
678 inc 324
679 inc 325
680 inc 326
681 inc 327
659 dec 214
664 inc 328
662 dec 215
657 dec 216
664 inc 329
663 dec 217
666 inc 330
696 inc 331
712 inc 332
708 dec 218
709 inc 333
710 inc 334
725 inc 335
729 inc 336
735 inc 337
731 dec 219
732 inc 338
749 inc 339
746 dec 220
726 dec 221
727 inc 340
732 inc 341
741 inc 342
734 dec 222
733 dec 223
723 dec 224
722 dec 225
720 dec 226
722 inc 343
719 dec 227
711 dec 228
695 dec 229
696 inc 344
699 inc 345
700 inc 346
701 inc 347
724 inc 348
725 inc 349
722 dec 230
723 inc 350
715 dec 231
716 inc 351
717 inc 352
714 dec 232
715 inc 353
717 inc 354
716 dec 233
715 dec 234
723 inc 355
728 inc 356
729 inc 357
733 inc 358
734 inc 359
735 inc 360
736 inc 361
748 inc 362
788 inc 363
794 inc 364
795 inc 365
793 dec 235
792 dec 236
803 inc 366
805 inc 367
804 dec 237
805 inc 368
804 dec 238
806 inc 369
805 dec 239
784 dec 240
792 inc 370
778 dec 241
777 dec 242
787 inc 371
799 inc 372
794 dec 243
808 inc 373
811 inc 374
813 inc 375
815 inc 376
812 dec 244
809 dec 245
833 inc 377
859 inc 378
863 inc 379
864 inc 380
866 inc 381
865 dec 246
863 dec 247
850 dec 248
845 dec 249
844 dec 250
854 inc 382
860 inc 383
861 inc 384
865 inc 385
869 inc 386
851 dec 251
850 dec 252
853 inc 387
874 inc 388
875 inc 389
876 inc 390
875 dec 253
876 inc 391
875 dec 254
879 inc 392
880 inc 393
888 inc 394
891 inc 395
890 dec 255
902 inc 396
904 inc 397
892 dec 256
893 inc 398
892 dec 257
900 inc 399
905 inc 400
918 inc 401
925 inc 402
924 dec 258
923 dec 259
914 dec 260
924 inc 403
925 inc 404
926 inc 405
952 inc 406
953 inc 407
951 dec 261
947 dec 262
957 inc 408
971 inc 409
968 dec 263
982 inc 410
971 dec 264
974 inc 411
975 inc 412
958 dec 265
943 dec 266
950 inc 413
934 dec 267
940 inc 414
949 inc 415
947 dec 268
941 dec 269
972 inc 416
971 dec 270
967 dec 271
969 inc 417
968 dec 272
964 dec 273
972 inc 418
966 dec 274
976 inc 419
975 dec 275
962 dec 276
959 dec 277
962 inc 420
967 inc 421
965 dec 278
966 inc 422
963 dec 279
959 dec 280
960 inc 423
959 dec 281
961 inc 424
962 inc 425
949 dec 282
950 inc 426
956 inc 427
957 inc 428
961 inc 429
953 dec 283
949 dec 284
956 inc 430
954 dec 285
955 inc 431
919 dec 286
921 inc 432
913 dec 287
925 inc 433
921 dec 288
945 inc 434
947 inc 435
948 inc 436
963 inc 437
976 inc 438
974 dec 289
980 inc 439
981 inc 440
982 inc 441
978 dec 290
982 inc 442
988 inc 443
985 dec 291
995 inc 444
994 dec 292
981 dec 293
985 inc 445
980 dec 294
984 inc 446
999 inc 447
1001 inc 448
1002 inc 449
1020 inc 450
1021 inc 451
1035 inc 452
1044 inc 453
1040 dec 295
1060 inc 454
1074 inc 455
1075 inc 456
1078 inc 457
1056 dec 296
1062 inc 458
1059 dec 297
1060 inc 459
1058 dec 298
1063 inc 460
1066 inc 461
1068 inc 462
1069 inc 463
1068 dec 299
1082 inc 464
1081 dec 300
1082 inc 465
1086 inc 466
1075 dec 301
1087 inc 467
1085 dec 302
1087 inc 468
1097 inc 469
1096 dec 303
1098 inc 470
1093 dec 304
1102 inc 471
1114 inc 472
1119 inc 473
1128 inc 474
1127 dec 305
1112 dec 306
1113 inc 475
1112 dec 307
1114 inc 476
1133 inc 477
1138 inc 478
1137 dec 308
1144 inc 479
1146 inc 480
1144 dec 309
1145 inc 481
1148 inc 482
1143 dec 310
1150 inc 483
1151 inc 484
1153 inc 485
1152 dec 311
1153 inc 486
1134 dec 312
1124 dec 313
1146 inc 487
1145 dec 314
1140 dec 315
1143 inc 488
1144 inc 489
1143 dec 316
1144 inc 490
1148 inc 491
1149 inc 492
1151 inc 493
1153 inc 494
1152 dec 317
1151 dec 318
1155 inc 495
1156 inc 496
1155 dec 319
1152 dec 320
1187 inc 497
1182 dec 321
1201 inc 498
1206 inc 499
1211 inc 500
1204 dec 322
1205 inc 501
1204 dec 323
1203 dec 324
1205 inc 502
1206 inc 503
1187 dec 325
1188 inc 504
1196 inc 505
1206 inc 506
1205 dec 326
1208 inc 507
1201 dec 327
1218 inc 508
1212 dec 328
1220 inc 509
1201 dec 329
1204 inc 510
1210 inc 511
1228 inc 512
1234 inc 513
1237 inc 514
1225 dec 330
1224 dec 331
1223 dec 332
1207 dec 333
1208 inc 515
1207 dec 334
1213 inc 516
1192 dec 335
1200 inc 517
1198 dec 336
1209 inc 518
1197 dec 337
1209 inc 519
1215 inc 520
1193 dec 338
1234 inc 521
1233 dec 339
1216 dec 340
1213 dec 341
1235 inc 522
1239 inc 523
1237 dec 342
1231 dec 343
1235 inc 524
1240 inc 525
1253 inc 526
1268 inc 527
1270 inc 528
1279 inc 529
1278 dec 344
1280 inc 530
1285 inc 531
1319 inc 532
1323 inc 533
1324 inc 534
1329 inc 535
1324 dec 345
1330 inc 536
1334 inc 537
1308 dec 346
1312 inc 538
1308 dec 347
1307 dec 348
1286 dec 349
1288 inc 539
1294 inc 540
1322 inc 541
1325 inc 542
1336 inc 543
1324 dec 350
1330 inc 544
1331 inc 545
1328 dec 351
1342 inc 546
1341 dec 352
1343 inc 547
1345 inc 548
1351 inc 549
1352 inc 550
1358 inc 551
1357 dec 353
1363 inc 552
1362 dec 354
1358 dec 355
1385 inc 553
1384 dec 356
1395 inc 554
1394 dec 357
1395 inc 555
1402 inc 556
1409 inc 557
1377 dec 358
1378 inc 558
1340 dec 359
1341 inc 559
1339 dec 360
1338 dec 361
1335 dec 362
1348 inc 560
1351 inc 561
1363 inc 562
1358 dec 363
1359 inc 563
1335 dec 364
1347 inc 564
1337 dec 365
1340 inc 565
1339 dec 366
1329 dec 367
1340 inc 566
1334 dec 368
1337 inc 567
1339 inc 568
1340 inc 569
1341 inc 570
1345 inc 571
1346 inc 572
1349 inc 573
1344 dec 369
1345 inc 574
1346 inc 575
1354 inc 576
1340 dec 370
1315 dec 371
1319 inc 577
1321 inc 578
1320 dec 372
1333 inc 579
1334 inc 580
1328 dec 373
1318 dec 374
1309 dec 375
1304 dec 376
1324 inc 581
1339 inc 582
1314 dec 377
1313 dec 378
1310 dec 379
1311 inc 583
1314 inc 584
1316 inc 585
1317 inc 586
1318 inc 587
1319 inc 588
1320 inc 589
1328 inc 590
1337 inc 591
1350 inc 592
1353 inc 593
1347 dec 380
1349 inc 594
1338 dec 381
1339 inc 595
1336 dec 382
1344 inc 596
1329 dec 383
1320 dec 384
1322 inc 597
1343 inc 598
1346 inc 599
1350 inc 600
1306 dec 385
1308 inc 601
1306 dec 386
1303 dec 387
1320 inc 602
1321 inc 603
1320 dec 388
1321 inc 604
1320 dec 389
1330 inc 605
1328 dec 390
1334 inc 606
1350 inc 607
1349 dec 391
1348 dec 392
1350 inc 608
1347 dec 393
1350 inc 609
1351 inc 610
1358 inc 611
1356 dec 394
1364 inc 612
1374 inc 613
1375 inc 614
1354 dec 395
1351 dec 396
1360 inc 615
1364 inc 616
1348 dec 397
1361 inc 617
1356 dec 398
1357 inc 618
1354 dec 399
1357 inc 619
1352 dec 400
1334 dec 401
1335 inc 620
1330 dec 402
1355 inc 621
1354 dec 403
1353 dec 404
1354 inc 622
1355 inc 623
1361 inc 624
1360 dec 405
1358 dec 406
1356 dec 407
1359 inc 625
1371 inc 626
1372 inc 627
1378 inc 628
1377 dec 408
1376 dec 409
1355 dec 410
1357 inc 629
1355 dec 411
1356 inc 630
1357 inc 631
1364 inc 632
1378 inc 633
1379 inc 634
1380 inc 635
1374 dec 412
1381 inc 636
1389 inc 637
1396 inc 638
1402 inc 639
1403 inc 640
1384 dec 413
1386 inc 641
1387 inc 642
1409 inc 643
1413 inc 644
1419 inc 645
1420 inc 646
1421 inc 647
1427 inc 648
1453 inc 649
1456 inc 650
1453 dec 414
1425 dec 415
1427 inc 651
1428 inc 652
1424 dec 416
1420 dec 417
1417 dec 418
1421 inc 653
1412 dec 419
1413 inc 654
1415 inc 655
1414 dec 420
1411 dec 421
1412 inc 656
1413 inc 657
1425 inc 658
1426 inc 659
1440 inc 660
1470 inc 661
1461 dec 422
1466 inc 662
1457 dec 423
1460 inc 663
1494 inc 664
1481 dec 424
1483 inc 665
1482 dec 425
1481 dec 426
1482 inc 666
1481 dec 427
1483 inc 667
1499 inc 668
1485 dec 428
1486 inc 669
1487 inc 670
1488 inc 671
1489 inc 672
1468 dec 429
1472 inc 673
1469 dec 430
1470 inc 674
1479 inc 675
1478 dec 431
1479 inc 676
1485 inc 677
1461 dec 432
1460 dec 433
1456 dec 434
1455 dec 435
1456 inc 678
1455 dec 436
1449 dec 437
1446 dec 438
1448 inc 679
1451 inc 680
1452 inc 681
1439 dec 439
1440 inc 682
1442 inc 683
1448 inc 684
1445 dec 440
1432 dec 441
1433 inc 685
1434 inc 686
1415 dec 442
1420 inc 687
1412 dec 443
1413 inc 688
1419 inc 689
1420 inc 690
1405 dec 444
1401 dec 445
1403 inc 691
1377 dec 446
1380 inc 692
1382 inc 693
1383 inc 694
1379 dec 447
1381 inc 695
1403 inc 696
1405 inc 697
1428 inc 698
1429 inc 699
1431 inc 700
1424 dec 448
1415 dec 449
1420 inc 701
1424 inc 702
1429 inc 703
1439 inc 704
1440 inc 705
1438 dec 450
1440 inc 706
1448 inc 707
1442 dec 451
1441 dec 452
1439 dec 453
1441 inc 708
1442 inc 709
1444 inc 710
1449 inc 711
1450 inc 712
1449 dec 454
1446 dec 455
1477 inc 713
1466 dec 456
1467 inc 714
1496 inc 715
1503 inc 716
1529 inc 717
1538 inc 718
1539 inc 719
1528 dec 457
1558 inc 720
1560 inc 721
1561 inc 722
1573 inc 723
1587 inc 724
1569 dec 458
1566 dec 459
1572 inc 725
1577 inc 726
1585 inc 727
1602 inc 728
1603 inc 729
1606 inc 730
1581 dec 460
1598 inc 731
1599 inc 732
1593 dec 461
1598 inc 733
1595 dec 462
1604 inc 734
1607 inc 735
1606 dec 463
1607 inc 736
1605 dec 464
1614 inc 737
1629 inc 738
1636 inc 739
1638 inc 740
1656 inc 741
1664 inc 742
1668 inc 743
1671 inc 744
1687 inc 745
1683 dec 465
1700 inc 746
1703 inc 747
1706 inc 748
1720 inc 749
1719 dec 466
1718 dec 467
1720 inc 750
1701 dec 468
1700 dec 469
1701 inc 751
1702 inc 752
1704 inc 753
1707 inc 754
1700 dec 470
1712 inc 755
1708 dec 471
1712 inc 756
1729 inc 757
1728 dec 472
1729 inc 758
1730 inc 759
1738 inc 760
1741 inc 761
1730 dec 473
1733 inc 762
1730 dec 474
1729 dec 475
1726 dec 476
1728 inc 763
1745 inc 764
1755 inc 765
1754 dec 477
1755 inc 766
1760 inc 767
1753 dec 478
1747 dec 479
1746 dec 480
1747 inc 768
1749 inc 769
1750 inc 770
1748 dec 481
1749 inc 771
1743 dec 482
1745 inc 772
1754 inc 773
1757 inc 774
1763 inc 775
1766 inc 776
1775 inc 777
1773 dec 483
1774 inc 778
1773 dec 484
1746 dec 485
1747 inc 779
1732 dec 486
1730 dec 487
1709 dec 488
1721 inc 780
1727 inc 781
1718 dec 489
1717 dec 490
1701 dec 491
1700 dec 492
1701 inc 782
1705 inc 783
1712 inc 784
1723 inc 785
1724 inc 786
1725 inc 787
1720 dec 493
1727 inc 788
1728 inc 789
1746 inc 790
1744 dec 494
1760 inc 791
1748 dec 495
1747 dec 496
1746 dec 497
1771 inc 792
1786 inc 793
1784 dec 498
1786 inc 794
1783 dec 499
1795 inc 795
1793 dec 500
1794 inc 796
1808 inc 797
1793 dec 501
1808 inc 798
1811 inc 799
1807 dec 502
1808 inc 800
1806 dec 503
1841 inc 801
1860 inc 802
1861 inc 803
1840 dec 504
1839 dec 505
1831 dec 506
1836 inc 804
1829 dec 507
1818 dec 508
1816 dec 509
1817 inc 805
1846 inc 806
1835 dec 510
1827 dec 511
1815 dec 512
1816 inc 807
1832 inc 808
1831 dec 513
1830 dec 514
1831 inc 809
1829 dec 515
1828 dec 516
1829 inc 810
1831 inc 811
1830 dec 517
1838 inc 812
1852 inc 813
1853 inc 814
1851 dec 518
1865 inc 815
1866 inc 816
1889 inc 817
1890 inc 818
1888 dec 519
1887 dec 520
1879 dec 521
1859 dec 522
1860 inc 819
1863 inc 820
1867 inc 821
1868 inc 822
1860 dec 523
1872 inc 823
1873 inc 824
1881 inc 825
1895 inc 826
1893 dec 524
1892 dec 525
1899 inc 827
1901 inc 828
1907 inc 829
1916 inc 830
1906 dec 526
1916 inc 831
1917 inc 832
1928 inc 833
1933 inc 834
1921 dec 527
1924 inc 835
1925 inc 836
1935 inc 837
1952 inc 838
1953 inc 839
1959 inc 840
1960 inc 841
1958 dec 528
1962 inc 842
1988 inc 843
1995 inc 844
1985 dec 529
1988 inc 845
1986 dec 530
1989 inc 846
2003 inc 847
2004 inc 848
2009 inc 849
2011 inc 850
2020 inc 851
2021 inc 852
2040 inc 853
2039 dec 531
2024 dec 532
2029 inc 854
2030 inc 855
2037 inc 856
2038 inc 857
2037 dec 533
2040 inc 858
2038 dec 534
2042 inc 859
2045 inc 860
2046 inc 861
2051 inc 862
2046 dec 535
2045 dec 536
2034 dec 537
2033 dec 538
2011 dec 539
2015 inc 863
2025 inc 864
2011 dec 540
2012 inc 865
2011 dec 541
1993 dec 542
2007 inc 866
1999 dec 543
1975 dec 544
1970 dec 545
1985 inc 867
1990 inc 868
1989 dec 546
1986 dec 547
1989 inc 869
1991 inc 870
1995 inc 871
1978 dec 548
1976 dec 549
1956 dec 550
1958 inc 872
1945 dec 551
1930 dec 552
1933 inc 873
1931 dec 553
1926 dec 554
1937 inc 874
1936 dec 555
1935 dec 556
1942 inc 875
1936 dec 557
1934 dec 558
1918 dec 559
1919 inc 876
1923 inc 877
1929 inc 878
1935 inc 879
1952 inc 880
1961 inc 881
1959 dec 560
1960 inc 882
1947 dec 561
1948 inc 883
1949 inc 884
1946 dec 562
1944 dec 563
1961 inc 885
1929 dec 564
1932 inc 886
1944 inc 887
1933 dec 565
1928 dec 566
1920 dec 567
1889 dec 568
1894 inc 888
1886 dec 569
1906 inc 889
1900 dec 570
1895 dec 571
1890 dec 572
1901 inc 890
1904 inc 891
1903 dec 573
1898 dec 574
1921 inc 892
1922 inc 893
1931 inc 894
1933 inc 895
1939 inc 896
1940 inc 897
1939 dec 575
1927 dec 576
1920 dec 577
1934 inc 898
1947 inc 899
1946 dec 578
1956 inc 900
1955 dec 579
1949 dec 580
1951 inc 901
1953 inc 902
1951 dec 581
1949 dec 582
1952 inc 903
1942 dec 583
1945 inc 904
1933 dec 584
1934 inc 905
1917 dec 585
1927 inc 906
1934 inc 907
1913 dec 586
1914 inc 908
1911 dec 587
1912 inc 909
1920 inc 910
1919 dec 588
1915 dec 589
1917 inc 911
1943 inc 912
1951 inc 913
1952 inc 914
1945 dec 590
1950 inc 915
1929 dec 591
1926 dec 592
1933 inc 916
1935 inc 917
1949 inc 918
1947 dec 593
1966 inc 919
1967 inc 920
1945 dec 594
1972 inc 921
1985 inc 922
1962 dec 595
1964 inc 923
1956 dec 596
1942 dec 597
1943 inc 924
1937 dec 598
1936 dec 599
1933 dec 600
1941 inc 925
1949 inc 926
1965 inc 927
1968 inc 928
1969 inc 929
1970 inc 930
1957 dec 601
1956 dec 602
1957 inc 931
1962 inc 932
1939 dec 603
1942 inc 933
1957 inc 934
1956 dec 604
1961 inc 935
1960 dec 605
1959 dec 606
1956 dec 607
1957 inc 936
1983 inc 937
1981 dec 608
1979 dec 609
1976 dec 610
1969 dec 611
1974 inc 938
1952 dec 612
1938 dec 613
1952 inc 939
1955 inc 940
1952 dec 614
1958 inc 941
1952 dec 615
1964 inc 942
1965 inc 943
1956 dec 616
1959 inc 944
1960 inc 945
1962 inc 946
1961 dec 617
1960 dec 618
1967 inc 947
1968 inc 948
1979 inc 949
1989 inc 950
1990 inc 951
1993 inc 952
2004 inc 953
2003 dec 619
2012 inc 954
2006 dec 620
1994 dec 621
1998 inc 955
1988 dec 622
1991 inc 956
1987 dec 623
1986 dec 624
1987 inc 957
1985 dec 625
1982 dec 626
1985 inc 958
1988 inc 959
1990 inc 960
1984 dec 627
1978 dec 628
1967 dec 629
1978 inc 961
1990 inc 962
1984 dec 630
1985 inc 963
1984 dec 631
1985 inc 964
2009 inc 965
2007 dec 632
2000 dec 633
1992 dec 634
2012 inc 966
2011 dec 635
2020 inc 967
2021 inc 968
2022 inc 969
2017 dec 636
2000 dec 637
1975 dec 638
1989 inc 970
1988 dec 639
1975 dec 640
1954 dec 641
1955 inc 971
1947 dec 642
1954 inc 972
1971 inc 973
1970 dec 643
1973 inc 974
1981 inc 975
1982 inc 976
1984 inc 977
1996 inc 978
1992 dec 644
1994 inc 979
1996 inc 980
1997 inc 981
2001 inc 982
1998 dec 645
2000 inc 983
1998 dec 646
1997 dec 647
1999 inc 984
2007 inc 985
2001 dec 648
2007 inc 986
2005 dec 649
2003 dec 650
2001 dec 651
2003 inc 987
1999 dec 652
1997 dec 653
1980 dec 654
1981 inc 988
1999 inc 989
2005 inc 990
2011 inc 991
2016 inc 992
2017 inc 993
2026 inc 994
2027 inc 995
2020 dec 655
2021 inc 996
2023 inc 997
2024 inc 998
2025 inc 999
2024 dec 656
2025 inc 1000
2029 inc 1001
2033 inc 1002
2035 inc 1003
2039 inc 1004
2051 inc 1005
2052 inc 1006
2054 inc 1007
2065 inc 1008
2082 inc 1009
2084 inc 1010
2101 inc 1011
2097 dec 657
2096 dec 658
2097 inc 1012
2092 dec 659
2104 inc 1013
2105 inc 1014
2101 dec 660
2092 dec 661
2094 inc 1015
2100 inc 1016
2101 inc 1017
2095 dec 662
2096 inc 1018
2093 dec 663
2118 inc 1019
2116 dec 664
2152 inc 1020
2161 inc 1021
2162 inc 1022
2163 inc 1023
2165 inc 1024
2174 inc 1025
2163 dec 665
2183 inc 1026
2187 inc 1027
2155 dec 666
2156 inc 1028
2158 inc 1029
2162 inc 1030
2155 dec 667
2148 dec 668
2147 dec 669
2149 inc 1031
2148 dec 670
2142 dec 671
2144 inc 1032
2140 dec 672
2129 dec 673
2132 inc 1033
2133 inc 1034
2137 inc 1035
2143 inc 1036
2140 dec 674
2150 inc 1037
2135 dec 675
2134 dec 676
2133 dec 677
2136 inc 1038
2145 inc 1039
2136 dec 678
2137 inc 1040
2140 inc 1041
2141 inc 1042
2118 dec 679
2125 inc 1043
2106 dec 680
2104 dec 681
2089 dec 682
2088 dec 683
2076 dec 684
2063 dec 685
2060 dec 686
2054 dec 687
2047 dec 688
2046 dec 689
2047 inc 1044
2050 inc 1045
2051 inc 1046
2046 dec 690
2051 inc 1047
2061 inc 1048
2060 dec 691
2066 inc 1049
2068 inc 1050
2072 inc 1051
2073 inc 1052
2083 inc 1053
2098 inc 1054
2101 inc 1055
2096 dec 692
2098 inc 1056
2099 inc 1057
2103 inc 1058
2093 dec 693
2092 dec 694
2111 inc 1059
2129 inc 1060
2152 inc 1061
2159 inc 1062
2155 dec 695
2163 inc 1063
2155 dec 696
2158 inc 1064
2163 inc 1065
2166 inc 1066
2170 inc 1067
2161 dec 697
2155 dec 698
2159 inc 1068
2147 dec 699
2146 dec 700
2154 inc 1069
2165 inc 1070
2172 inc 1071
2163 dec 701
2179 inc 1072
2182 inc 1073
2180 dec 702
2168 dec 703
2172 inc 1074
2179 inc 1075
2181 inc 1076
2183 inc 1077
2176 dec 704
2147 dec 705
2170 inc 1078
2172 inc 1079
2173 inc 1080
2153 dec 706
2158 inc 1081
2140 dec 707
2135 dec 708
2136 inc 1082
2134 dec 709
2130 dec 710
2134 inc 1083
2156 inc 1084
2161 inc 1085
2162 inc 1086
2163 inc 1087
2149 dec 711
2150 inc 1088
2159 inc 1089
2160 inc 1090
2161 inc 1091
2178 inc 1092
2185 inc 1093
2183 dec 712
2158 dec 713
2173 inc 1094
2168 dec 714
2170 inc 1095
2165 dec 715
2181 inc 1096
2173 dec 716
2175 inc 1097
2178 inc 1098
2183 inc 1099
2185 inc 1100
2184 dec 717
2189 inc 1101
2202 inc 1102
2203 inc 1103
2191 dec 718
2176 dec 719
2177 inc 1104
2163 dec 720
2150 dec 721
2159 inc 1105
2158 dec 722
